metric,value,battery_size
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8588106072489642,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9092451577370092,4
variance,0.8629070956781885,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8857586718901813,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8908663319340134,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9595939474338775,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8857586718901813,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8857586718901813,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8908663319340134,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9092451577370092,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9595939474338775,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9092451577370092,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9595939474338775,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8610297037968292,4
variance,0.9464459774091184,4
variance,0.9595939474338775,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8908663319340134,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9595939474338775,4
variance,0.9233065496109573,4
variance,0.9233065496109573,4
variance,0.9595939474338775,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8857586718901813,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8931379135216487,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8610297037968292,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9233065496109573,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
variance,0.9464459774091184,4
variance,0.9464459774091184,4
variance,0.8678130942329746,4
variance,0.8678130942329746,4
variance,0.9464459774091184,4
variance,0.9233065496109573,4
